residentId, residentAssignment, residentAssignmentLocation, residentAssignmentRank, residentInitialPreferences, residentFinalPreferences, hasPartner, isAnchorPartner, partnerId, partnerAssignment, partnerAssignmentLocation, partnerAssignmentRank, partnerInitialPreferences, partnerFinalPreferences
R105, H2, 49, 0, H2 H19 H37 H8 H45 H24 H34 H21 H7 H3 H18 H11 H35 H13 H36, H2 H19 H37 H8 H45 H24 H34 H21 H7 H3 H18 H11 H35 H13 H36, false, NA, NA, NA, NA, NA, NA, NA
R106, H45, 33, 3, H46 H26 H23 H45 H1 H49 H27 H30 H42 H29 H32 H39 H36 H11 H47, H46 H26 H23 H45 H1 H49 H27 H30 H42 H29 H32 H39 H36 H11 H47, false, NA, NA, NA, NA, NA, NA, NA
R107, H12, 2, 0, H12 H44 H9 H14 H24 H41 H5 H23 H4 H8 H11 H42 H13 H30 H0, H12 H44 H9 H14 H24 H41 H5 H23 H4 H8 H11 H42 H13 H30 H0, false, NA, NA, NA, NA, NA, NA, NA
R108, NO_MATCH, -1, 2147483647, H37 H45 H25 H33 H39 H34 H14 H32 H28 H40 H5 H48 H47 H19, , true, false, R59, NO_MATCH, -1, 2147483647, H5 H34 H14 H28 H47 H37 H32 H11 H35 H6 H25 H36 H29 H20 H10, 
R109, H33, 24, 0, H18 H24 H33 H11 H44 H31 H4 H22 H21 H42 H1 H13 H35 H39 H28, H33 H11 H44 H31 H4 H22 H21 H42 H1 H13 H35 H39 H28, true, false, R130, H33, 24, 4, H4 H18 H31 H35 H27 H44 H24 H7 H43 H33 H1 H20 H11, H44 H24 H7 H43 H33 H1 H20 H11
R110, H29, 11, 5, H6 H14 H45 H8 H47 H29 H3 H38 H22 H36 H11 H48 H20 H49 H17, H6 H14 H45 H8 H47 H29 H3 H38 H22 H36 H11 H48 H20 H49 H17, false, NA, NA, NA, NA, NA, NA, NA
R111, NO_MATCH, -1, 2147483647, H34 H32 H40 H5 H36 H49 H20 H27 H29 H3 H23 H48 H1 H22 H14, H14, true, false, R33, NO_MATCH, -1, 2147483647, H36 H27 H41 H25 H20 H49 H34 H40 H1 H8 H35 H18 H32 H5, H32 H5
R112, H45, 33, 5, H41 H32 H40 H16 H17 H45 H3 H30 H2 H12 H35 H21 H26 H38 H4, H41 H32 H40 H16 H17 H45 H3 H30 H2 H12 H35 H21 H26 H38 H4, false, NA, NA, NA, NA, NA, NA, NA
R113, H36, 9, 4, H19 H12 H21 H5 H36 H31 H20 H34 H16 H22 H45 H35 H41 H39 H0, H19 H12 H21 H5 H36 H31 H20 H34 H16 H22 H45 H35 H41 H39 H0, false, NA, NA, NA, NA, NA, NA, NA
R114, H3, 3, 0, H3 H5 H6 H1 H8 H0 H35 H22 H15 H24 H39 H26 H29 H14 H32, H3 H5 H6 H1 H8 H0 H35 H22 H15 H24 H39 H26 H29 H14 H32, true, true, R27, H35, 3, 1, H3 H35 H25 H0 H5 H48 H44 H8 H47 H1 H31 H19 H6 H2, H3 H35 H25 H0 H5 H48 H44 H8 H47 H1 H31 H19 H6 H2
R115, H43, 23, 1, H20 H43 H19 H22 H31 H45 H27 H13 H39 H8 H30 H28 H21 H5 H14, H20 H43 H19 H22 H31 H45 H27 H13 H39 H8 H30 H28 H21 H5 H14, false, NA, NA, NA, NA, NA, NA, NA
R116, H9, 35, 0, H9 H10 H29 H19 H24 H12 H1 H37 H42 H0 H21 H4 H25 H30 H6, H9 H10 H29 H19 H24 H12 H1 H37 H42 H0 H21 H4 H25 H30 H6, false, NA, NA, NA, NA, NA, NA, NA
R117, H41, 13, 0, H41 H17 H33 H48 H14 H37 H15 H2 H21 H49 H11 H25 H35 H26 H43, H41 H17 H33 H48 H14 H37 H15 H2 H21 H49 H11 H25 H35 H26 H43, false, NA, NA, NA, NA, NA, NA, NA
R118, H13, 32, 11, H43 H19 H34 H10 H44 H39 H38 H2 H27 H4 H14 H13 H6 H37 H23, H43 H19 H34 H10 H44 H39 H38 H2 H27 H4 H14 H13 H6 H37 H23, false, NA, NA, NA, NA, NA, NA, NA
R119, H43, 23, 0, H43 H22 H36 H5 H23 H28 H41 H27 H6 H7 H35 H2 H33 H21 H13, H43 H22 H36 H5 H23 H28 H41 H27 H6 H7 H35 H2 H33 H21 H13, false, NA, NA, NA, NA, NA, NA, NA
R120, NO_MATCH, -1, 2147483647, H29 H18 H5 H3 H47 H48 H20 H14 H22 H1 H17 H27 H13 H30 H33, , true, false, R146, NO_MATCH, -1, 2147483647, H20 H12 H5 H47 H29 H3 H41 H16 H48 H18 H44, H44
R121, H22, 3, 1, H39 H22 H33 H10 H42 H7 H15 H13 H36 H11 H41 H31 H3 H44 H18, H39 H22 H33 H10 H42 H7 H15 H13 H36 H11 H41 H31 H3 H44 H18, false, NA, NA, NA, NA, NA, NA, NA
R122, H26, 21, 7, H28 H3 H10 H43 H39 H6 H17 H26 H41 H30 H29 H23 H47 H34 H11, H28 H3 H10 H43 H39 H6 H17 H26 H41 H30 H29 H23 H47 H34 H11, false, NA, NA, NA, NA, NA, NA, NA
R123, NO_MATCH, -1, 2147483647, H45 H2 H23 H5 H8 H0 H48 H21 H9 H11 H44 H13 H20 H39 H40, , true, false, R141, NO_MATCH, -1, 2147483647, H0 H48 H2 H5 H35 H23 H8 H41 H34 H10 H45 H42, H42
R124, H42, 27, 0, H42 H21 H30 H45 H27 H26 H18 H19 H23 H13 H37 H48 H34 H6 H39, H42 H21 H30 H45 H27 H26 H18 H19 H23 H13 H37 H48 H34 H6 H39, false, NA, NA, NA, NA, NA, NA, NA
R125, H27, 32, 0, H27 H30 H1 H26 H21 H9 H42 H28 H39 H12 H18 H17 H36 H19 H0, H27 H30 H1 H26 H21 H9 H42 H28 H39 H12 H18 H17 H36 H19 H0, false, NA, NA, NA, NA, NA, NA, NA
R126, H38, 41, 6, H37 H27 H15 H44 H2 H28 H38 H43 H33 H7 H17 H3 H35 H36 H0, H37 H27 H15 H44 H2 H28 H38 H43 H33 H7 H17 H3 H35 H36 H0, false, NA, NA, NA, NA, NA, NA, NA
R127, H45, 33, 1, H16 H45 H2 H1 H0 H22 H38 H40 H31 H6 H35 H47 H12 H18 H46, H16 H45 H2 H1 H0 H22 H38 H40 H31 H6 H35 H47 H12 H18 H46, false, NA, NA, NA, NA, NA, NA, NA
R128, H44, 19, 4, H47 H7 H25 H30 H44 H48 H8 H26 H0 H27 H31 H14 H35 H37 H16, H47 H7 H25 H30 H44 H48 H8 H26 H0 H27 H31 H14 H35 H37 H16, false, NA, NA, NA, NA, NA, NA, NA
R129, H23, 31, 5, H36 H47 H8 H0 H41 H23 H40 H14 H29 H7 H17 H9 H49 H26 H38, H36 H47 H8 H0 H41 H23 H40 H14 H29 H7 H17 H9 H49 H26 H38, false, NA, NA, NA, NA, NA, NA, NA
R130, H33, 24, 4, H4 H18 H31 H35 H27 H44 H24 H7 H43 H33 H1 H20 H11, H44 H24 H7 H43 H33 H1 H20 H11, true, false, R109, H33, 24, 0, H18 H24 H33 H11 H44 H31 H4 H22 H21 H42 H1 H13 H35 H39 H28, H33 H11 H44 H31 H4 H22 H21 H42 H1 H13 H35 H39 H28
R131, H14, 48, 1, H18 H14 H4 H13 H20 H9 H23 H25 H49 H2 H6 H3 H17 H29 H16, H18 H14 H4 H13 H20 H9 H23 H25 H49 H2 H6 H3 H17 H29 H16, false, NA, NA, NA, NA, NA, NA, NA
R132, H17, 49, 13, H0 H33 H1 H26 H38 H28 H19 H9 H7 H10 H23 H2 H49 H17 H36, H0 H33 H1 H26 H38 H28 H19 H9 H7 H10 H23 H2 H49 H17 H36, false, NA, NA, NA, NA, NA, NA, NA
R133, H43, 23, 6, H22 H25 H0 H27 H6 H39 H43 H34 H1 H17 H41 H46 H42 H15 H26, H22 H25 H0 H27 H6 H39 H43 H34 H1 H17 H41 H46 H42 H15 H26, false, NA, NA, NA, NA, NA, NA, NA
R134, H32, 7, 4, H6 H42 H17 H34 H32 H25 H27 H41 H44 H0 H47 H19 H46 H4 H26, H6 H42 H17 H34 H32 H25 H27 H41 H44 H0 H47 H19 H46 H4 H26, false, NA, NA, NA, NA, NA, NA, NA
R135, H11, 5, 3, H29 H36 H38 H11 H19 H24 H5 H9 H28 H21 H39 H4 H46 H7 H43, H29 H36 H38 H11 H19 H24 H5 H9 H28 H21 H39 H4 H46 H7 H43, false, NA, NA, NA, NA, NA, NA, NA
R136, H6, 5, 1, H41 H6 H43 H42 H38 H25 H22 H35 H19 H14 H40 H28 H26 H34 H21, H41 H6 H43 H42 H38 H25 H22 H35 H19 H14 H40 H28 H26 H34 H21, false, NA, NA, NA, NA, NA, NA, NA
R137, H26, 21, 4, H5 H19 H44 H45 H26 H33 H0 H32 H37 H27 H46 H12 H4 H7 H24, H5 H19 H44 H45 H26 H33 H0 H32 H37 H27 H46 H12 H4 H7 H24, false, NA, NA, NA, NA, NA, NA, NA
R138, H29, 11, 1, H16 H29 H49 H26 H44 H40 H6 H48 H21 H5 H34 H20 H1 H39 H31, H16 H29 H49 H26 H44 H40 H6 H48 H21 H5 H34 H20 H1 H39 H31, false, NA, NA, NA, NA, NA, NA, NA
R139, NO_MATCH, -1, 2147483647, H34 H9 H4 H45 H17 H46 H1 H23 H41 H42 H29 H22 H31, H29 H22 H31, true, false, R82, NO_MATCH, -1, 2147483647, H9 H34 H17 H46 H31 H4 H45 H24 H14 H0 H44 H7 H19 H25 H33, 
R140, NO_MATCH, -1, 2147483647, H31 H10 H43 H27 H13 H44 H15 H28 H41 H7 H39 H21 H8, , true, false, R58, NO_MATCH, -1, 2147483647, H10 H41 H39 H8 H28 H27 H21 H32 H5 H31 H30 H2 H3 H17 H16, H16
R141, NO_MATCH, -1, 2147483647, H0 H48 H2 H5 H35 H23 H8 H41 H34 H10 H45 H42, H42, true, false, R123, NO_MATCH, -1, 2147483647, H45 H2 H23 H5 H8 H0 H48 H21 H9 H11 H44 H13 H20 H39 H40, 
R142, NO_MATCH, -1, 2147483647, H42 H44 H40 H6 H12 H10 H45 H4 H13 H2 H8 H21 H20, , true, false, R20, NO_MATCH, -1, 2147483647, H10 H21 H4 H12 H6 H40 H20 H29 H39 H22 H47 H7 H27 H45 H1, 
R143, H2, 49, 8, H13 H12 H28 H32 H1 H8 H3 H16 H2 H29 H39 H19 H17 H37 H43, H13 H12 H28 H32 H1 H8 H3 H16 H2 H29 H39 H19 H17 H37 H43, false, NA, NA, NA, NA, NA, NA, NA
R144, H25, 9, 1, H15 H25 H9 H19 H49 H20 H23 H33 H43 H26 H14 H35 H44 H12 H13, H15 H25 H9 H19 H49 H20 H23 H33 H43 H26 H14 H35 H44 H12 H13, false, NA, NA, NA, NA, NA, NA, NA
R145, H38, 41, 8, H42 H49 H4 H43 H15 H46 H9 H5 H38 H14 H20 H41 H33 H2 H1, H42 H49 H4 H43 H15 H46 H9 H5 H38 H14 H20 H41 H33 H2 H1, false, NA, NA, NA, NA, NA, NA, NA
R146, NO_MATCH, -1, 2147483647, H20 H12 H5 H47 H29 H3 H41 H16 H48 H18 H44, H44, true, false, R120, NO_MATCH, -1, 2147483647, H29 H18 H5 H3 H47 H48 H20 H14 H22 H1 H17 H27 H13 H30 H33, 
R147, H40, 48, 0, H40 H31 H1 H39 H47 H35 H32 H23 H10 H24 H18 H37 H44 H16 H12, H40 H31 H1 H39 H47 H35 H32 H23 H10 H24 H18 H37 H44 H16 H12, false, NA, NA, NA, NA, NA, NA, NA
R148, H31, 16, 2, H34 H0 H31 H8 H19 H45 H25 H22 H26 H21 H11 H10 H35 H5 H42, H34 H0 H31 H8 H19 H45 H25 H22 H26 H21 H11 H10 H35 H5 H42, false, NA, NA, NA, NA, NA, NA, NA
R149, H9, 35, 11, H10 H41 H46 H35 H30 H38 H13 H23 H18 H5 H16 H9 H24 H12 H33, H10 H41 H46 H35 H30 H38 H13 H23 H18 H5 H16 H9 H24 H12 H33, false, NA, NA, NA, NA, NA, NA, NA
